,index,tconst,ordering,nconst,category,job,characters,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,primaryName,birthYear,deathYear,primaryProfession,directors,writers
0,0,tt0035423,1,nm0000212,actress,,"[""Kate McKay""]",movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance",Meg Ryan,1961.0,,"actress,producer,soundtrack",nm0003506,"nm0737216,nm0003506"
1,1,tt0035423,10,nm0107463,editor,,,movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance",David Brenner,,,"editor,editorial_department",nm0003506,"nm0737216,nm0003506"
2,2,tt0035423,2,nm0413168,actor,,"[""Leopold""]",movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance",Hugh Jackman,1968.0,,"actor,soundtrack,producer",nm0003506,"nm0737216,nm0003506"
3,3,tt0035423,3,nm0000630,actor,,"[""Stuart Besser""]",movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance",Liev Schreiber,1967.0,,"actor,producer,miscellaneous",nm0003506,"nm0737216,nm0003506"
4,4,tt0035423,4,nm0005227,actor,,"[""Charlie McKay""]",movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance",Breckin Meyer,1974.0,,"actor,writer,producer",nm0003506,"nm0737216,nm0003506"
5,5,tt0035423,5,nm0003506,director,,,movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance",James Mangold,1963.0,,"producer,director,writer",nm0003506,"nm0737216,nm0003506"
6,6,tt0035423,6,nm0737216,writer,story,,movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance",Steven Rogers,,,"writer,producer,miscellaneous",nm0003506,"nm0737216,nm0003506"
7,7,tt0035423,7,nm0465298,producer,producer,,movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance",Cathy Konrad,,,"producer,miscellaneous",nm0003506,"nm0737216,nm0003506"
8,8,tt0035423,8,nm0448843,composer,,,movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance",Rolfe Kent,1963.0,,"soundtrack,music_department,composer",nm0003506,"nm0737216,nm0003506"
9,9,tt0035423,9,nm0238698,cinematographer,,,movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance",Stuart Dryburgh,1952.0,,"cinematographer,camera_department",nm0003506,"nm0737216,nm0003506"
10,19,tt0036177,9,nm0594335,cinematographer,,,movie,Muhomatsu no issho,Muhomatsu no issho,0,2008,,100,"Action,Adventure",Kazuo Miyagawa,1908.0,1999.0,"cinematographer,animation_department,camera_department",nm0408348,"nm0411632,nm0412616"
11,18,tt0036177,8,nm1156001,composer,,,movie,Muhomatsu no issho,Muhomatsu no issho,0,2008,,100,"Action,Adventure",Gorô Nishi,,,composer,nm0408348,"nm0411632,nm0412616"
12,17,tt0036177,7,nm0412616,writer,story,,movie,Muhomatsu no issho,Muhomatsu no issho,0,2008,,100,"Action,Adventure",Shunsaku Iwashita,1906.0,,writer,nm0408348,"nm0411632,nm0412616"
13,16,tt0036177,6,nm0411632,writer,writer,,movie,Muhomatsu no issho,Muhomatsu no issho,0,2008,,100,"Action,Adventure",Mansaku Itami,1900.0,1946.0,"writer,director,actor",nm0408348,"nm0411632,nm0412616"
14,15,tt0036177,5,nm0408348,director,,,movie,Muhomatsu no issho,Muhomatsu no issho,0,2008,,100,"Action,Adventure",Hiroshi Inagaki,1905.0,1980.0,"director,writer,actor",nm0408348,"nm0411632,nm0412616"
15,11,tt0036177,10,nm0632660,editor,,,movie,Muhomatsu no issho,Muhomatsu no issho,0,2008,,100,"Action,Adventure",Shigeo Nishida,,,editor,nm0408348,"nm0411632,nm0412616"
16,13,tt0036177,3,nm0619218,actor,,"[""Captain Kotaro Yoshioka""]",movie,Muhomatsu no issho,Muhomatsu no issho,0,2008,,100,"Action,Adventure",Yasushi Nagata,1907.0,1972.0,actor,nm0408348,"nm0411632,nm0412616"
17,12,tt0036177,2,nm1671791,actress,,"[""Yoshiko Yoshioka""]",movie,Muhomatsu no issho,Muhomatsu no issho,0,2008,,100,"Action,Adventure",Keiko Sonoi,1913.0,1945.0,actress,nm0408348,"nm0411632,nm0412616"
18,10,tt0036177,1,nm0051765,actor,,"[""Matsugoro, aka Matsu""]",movie,Muhomatsu no issho,Muhomatsu no issho,0,2008,,100,"Action,Adventure",Tsumasaburô Bandô,1901.0,1953.0,"actor,producer",nm0408348,"nm0411632,nm0412616"
19,14,tt0036177,4,nm1796246,actor,,"[""Toshio Yoshioka""]",movie,Muhomatsu no issho,Muhomatsu no issho,0,2008,,100,"Action,Adventure",Kamon Kawamura,,,actor,nm0408348,"nm0411632,nm0412616"
20,26,tt0062336,6,nm0765384,director,completion director,,movie,The Tango of the Widower and Its Distorting Mirror,El Tango del Viudo y Su Espejo Deformante,0,2020,,70,Drama,Valeria Sarmiento,1948.0,,"editor,director,writer","nm0765384,nm0749914","nm0749914,nm1146177"
21,29,tt0062336,9,nm0005948,composer,,,movie,The Tango of the Widower and Its Distorting Mirror,El Tango del Viudo y Su Espejo Deformante,0,2020,,70,Drama,Jorge Arriagada,1943.0,,"composer,soundtrack,music_department","nm0765384,nm0749914","nm0749914,nm1146177"
22,28,tt0062336,8,nm1131208,producer,executive producer,,movie,The Tango of the Widower and Its Distorting Mirror,El Tango del Viudo y Su Espejo Deformante,0,2020,,70,Drama,Chamila Rodríguez,1975.0,,"actress,producer,director","nm0765384,nm0749914","nm0749914,nm1146177"
23,25,tt0062336,5,nm0749914,director,original director,,movie,The Tango of the Widower and Its Distorting Mirror,El Tango del Viudo y Su Espejo Deformante,0,2020,,70,Drama,Raúl Ruiz,1941.0,2011.0,"director,writer,producer","nm0765384,nm0749914","nm0749914,nm1146177"
24,27,tt0062336,7,nm1146177,writer,new material written by,,movie,The Tango of the Widower and Its Distorting Mirror,El Tango del Viudo y Su Espejo Deformante,0,2020,,70,Drama,Omar Saavedra Santis,1944.0,,writer,"nm0765384,nm0749914","nm0749914,nm1146177"
25,23,tt0062336,3,nm0016013,actor,,"[""Silva""]",movie,The Tango of the Widower and Its Distorting Mirror,El Tango del Viudo y Su Espejo Deformante,0,2020,,70,Drama,Luis Alarcón,1929.0,,"actor,special_effects","nm0765384,nm0749914","nm0749914,nm1146177"
26,22,tt0062336,2,nm1860495,actress,,"[""Fantasma""]",movie,The Tango of the Widower and Its Distorting Mirror,El Tango del Viudo y Su Espejo Deformante,0,2020,,70,Drama,Claudia Paz,1920.0,2015.0,actress,"nm0765384,nm0749914","nm0749914,nm1146177"
27,24,tt0062336,4,nm0739834,actress,,"[""Lola""]",movie,The Tango of the Widower and Its Distorting Mirror,El Tango del Viudo y Su Espejo Deformante,0,2020,,70,Drama,Shenda Román,1928.0,,actress,"nm0765384,nm0749914","nm0749914,nm1146177"
28,21,tt0062336,10,nm0093680,cinematographer,,,movie,The Tango of the Widower and Its Distorting Mirror,El Tango del Viudo y Su Espejo Deformante,0,2020,,70,Drama,Diego Bonacina,1943.0,1998.0,"cinematographer,director,writer","nm0765384,nm0749914","nm0749914,nm1146177"
29,20,tt0062336,1,nm0815612,actor,,"[""Viudo""]",movie,The Tango of the Widower and Its Distorting Mirror,El Tango del Viudo y Su Espejo Deformante,0,2020,,70,Drama,Rubén Sotoconil,,2002.0,actor,"nm0765384,nm0749914","nm0749914,nm1146177"
30,38,tt0069049,8,nm0006166,composer,,,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,,122,Drama,Michel Legrand,1932.0,2019.0,"composer,soundtrack,music_department",nm0000080,"nm0000080,nm0462648"
31,37,tt0069049,7,nm1475059,producer,producer,,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,,122,Drama,Filip Jan Rymsza,1977.0,,"producer,director,writer",nm0000080,"nm0000080,nm0462648"
32,36,tt0069049,6,nm0550881,producer,producer,,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,,122,Drama,Frank Marshall,1946.0,,"producer,miscellaneous,director",nm0000080,"nm0000080,nm0462648"
33,35,tt0069049,5,nm0000080,director,,,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,,122,Drama,Orson Welles,1915.0,1985.0,"actor,director,writer",nm0000080,"nm0000080,nm0462648"
34,39,tt0069049,9,nm0004372,cinematographer,,,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,,122,Drama,Gary Graver,1938.0,2006.0,"cinematographer,director,camera_department",nm0000080,"nm0000080,nm0462648"
35,33,tt0069049,3,nm0000953,actor,,"[""Brooks Otterlake""]",movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,,122,Drama,Peter Bogdanovich,1939.0,,"actor,director,writer",nm0000080,"nm0000080,nm0462648"
