CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
716273133,Existing Customer,41,F,3,Graduate,Married,Less than $40K,Blue,36,2,2,3,1593.0,0,1593.0,0.61,4853,78,0.592,0.0,0.00019864,0.9998
771411408,Attrited Customer,50,M,1,Post-Graduate,Unknown,$80K - $120K,Blue,38,2,3,4,2673.0,0,2673.0,1.043,4929,54,0.459,0.0,0.99825,0.00175068
750690258,Existing Customer,49,F,2,Graduate,Married,Less than $40K,Blue,39,2,3,3,2821.0,1995,826.0,0.62,8220,103,0.635,0.707,0.00030251,0.9997
710518308,Existing Customer,54,F,2,Doctorate,Married,Less than $40K,Blue,35,1,4,2,1685.0,0,1685.0,0.457,4155,85,0.667,0.0,0.00031455,0.99969
794528283,Existing Customer,44,M,4,College,Married,$60K - $80K,Blue,28,4,2,2,2748.0,878,1870.0,0.633,3383,67,0.558,0.32,0.00011605,0.99988
715236783,Existing Customer,42,F,4,College,Divorced,$40K - $60K,Blue,36,4,3,2,3734.0,2517,1217.0,0.724,4792,87,0.74,0.674,0.0001834,0.99982
772735758,Existing Customer,44,M,1,Unknown,Married,Unknown,Blue,34,6,2,0,2885.0,1895,990.0,0.387,1366,31,0.632,0.657,4.3319e-05,0.99996
716853258,Existing Customer,64,M,1,Graduate,Single,Less than $40K,Blue,45,5,3,2,4417.0,0,4417.0,0.904,4253,72,0.895,0.0,0.00016883,0.99983
816606333,Existing Customer,57,M,2,High School,Single,$80K - $120K,Blue,52,6,3,4,32409.0,0,32409.0,0.943,4218,66,0.571,0.0,0.00050163,0.9995
713675658,Existing Customer,36,F,1,High School,Single,Unknown,Blue,22,6,3,2,9817.0,848,8969.0,0.793,4636,85,0.848,0.086,0.00016413,0.99984
823578483,Existing Customer,44,F,4,High School,Single,Less than $40K,Blue,40,2,1,2,1438.3,1169,269.3,0.558,4429,78,0.529,0.813,5.6153e-05,0.99994
768196008,Existing Customer,54,M,1,Uneducated,Single,$60K - $80K,Blue,48,5,2,3,14948.0,2158,12790.0,0.844,3094,56,1.0,0.144,0.00018475,0.99982
718486608,Existing Customer,53,M,2,High School,Single,$120K +,Blue,36,2,2,2,21079.0,1431,19648.0,0.688,13930,96,0.655,0.068,0.00011065,0.99989
715298808,Existing Customer,40,M,2,High School,Divorced,$40K - $60K,Blue,32,1,3,2,7566.0,1618,5948.0,0.72,7570,88,0.544,0.214,0.00017486,0.99983
815840283,Existing Customer,51,F,2,Unknown,Married,Less than $40K,Blue,46,1,6,3,7744.0,1893,5851.0,0.813,16059,124,0.722,0.244,0.00026249,0.99974
711396483,Existing Customer,40,M,2,Graduate,Single,$40K - $60K,Blue,36,3,2,3,6033.0,0,6033.0,0.834,4505,74,0.721,0.0,0.00019143,0.99981
714577233,Existing Customer,50,F,3,Graduate,Married,$40K - $60K,Blue,41,2,3,1,4755.0,0,4755.0,0.776,15999,109,0.73,0.0,0.00011256,0.99989
